camera_id,camera_name,last_updated,image_url
166,Belsize Rd - North Feeder Rd,2025-04-21T18:27:39.268648,https://cctv.trafficwatchni.com/61.jpg?cache=1745260050000
167,A1 Hillborough Road - Blaris Road,2025-04-21T18:27:39.583063,https://cctv.trafficwatchni.com/65.jpg?cache=1745260050000
168,A3 Moira Road - Halftown Road,2025-04-21T18:27:39.903367,https://cctv.trafficwatchni.com/66.jpg?cache=1745260060000
169,M1 - 00A27 South Gantry,2025-04-21T18:27:40.197052,https://cctv.trafficwatchni.com/104.jpg?cache=1745260060000
170,M1 - Kennedy Way - Jct 2,2025-04-21T18:27:40.500172,https://cctv.trafficwatchni.com/105.jpg?cache=1745260060000
171,M1 - Stockmans Lane,2025-04-21T18:27:40.799970,https://cctv.trafficwatchni.com/106.jpg?cache=1745260060000
172,M1 - Lisburn Services (5A03),2025-04-21T18:27:41.112225,https://cctv.trafficwatchni.com/115.jpg?cache=1745260060000
173,M1 - Saintfield Rd (Lisburn) - Jct 6,2025-04-21T18:27:41.423877,https://cctv.trafficwatchni.com/120_1.jpg?cache=1745260060000
174,M1-  Blaris West - J9,2025-04-21T18:27:41.729205,https://cctv.trafficwatchni.com/125.jpg?cache=1745260060000
175,M1 - Moira (City Side) - Jct 9,2025-04-21T18:27:42.045796,https://cctv.trafficwatchni.com/127.jpg?cache=1745260060000
176,M1 - Lough Rd (Lurgan) - Jct 10,2025-04-21T18:27:42.349553,https://cctv.trafficwatchni.com/129.jpg?cache=1745260060000
177,M1 - M12 Ballynacor - Jct 11,2025-04-21T18:27:42.647079,https://cctv.trafficwatchni.com/130.jpg?cache=1745260060000
178,M1 - Birches - Jct 12,2025-04-21T18:27:42.966470,https://cctv.trafficwatchni.com/131.jpg?cache=1745260060000
179,M2 - Seaview (0B35),2025-04-21T18:27:43.273893,https://cctv.trafficwatchni.com/204.jpg?cache=1745260060000
180,M2 - Bellevue,2025-04-21T18:27:43.576714,https://cctv.trafficwatchni.com/212.jpg?cache=1745260060000
181,M2 - Sandyknowes Roundabout - Jct 4,2025-04-21T18:27:43.883274,https://cctv.trafficwatchni.com/215.jpg?cache=1745260060000
182,A6 Castledawson,2025-04-21T18:27:44.191474,https://cctv.trafficwatchni.com/232.jpg?cache=1745260060000
183,Ormeau Road - Ravenhill Road,2025-04-21T18:27:44.491462,https://cctv.trafficwatchni.com/244.jpg?cache=1745260060000
184,Saintfield Road - Upper Galwally,2025-04-21T18:27:44.800315,https://cctv.trafficwatchni.com/245.jpg?cache=1745260060000
185,Saintfield Road - School Rd,2025-04-21T18:27:45.116589,https://cctv.trafficwatchni.com/246.jpg?cache=1745260060000
186,Ballynahinch Road - Carryduff,2025-04-21T18:27:45.427345,https://cctv.trafficwatchni.com/249.jpg?cache=1745260060000
187,M3 - Lagan Bridge East,2025-04-21T18:27:45.729390,https://cctv.trafficwatchni.com/301.jpg?cache=1745260060000
188,M3 - Dee Street,2025-04-21T18:27:46.041692,https://cctv.trafficwatchni.com/303.jpg?cache=1745260060000
189,A2 - Holywood Exchange,2025-04-21T18:27:46.341531,https://cctv.trafficwatchni.com/308.jpg?cache=1745260060000
190,Ballygowan Road - Knock Road,2025-04-21T18:27:46.650491,https://cctv.trafficwatchni.com/402_1.jpg?cache=1745260060000
191,Upper Knockbreda Rd - Cregagh Rd,2025-04-21T18:27:46.956916,https://cctv.trafficwatchni.com/404.jpg?cache=1745260060000
192,A1 - Fiveways,2025-04-21T18:27:47.263840,https://cctv.trafficwatchni.com/615.jpg?cache=1745260060000
193,"Dublin Road, Antrim",2025-04-21T18:27:47.572622,https://cctv.trafficwatchni.com/824.jpg?cache=1745260060000
194,"Dublin Road at Great Northern Road, Omagh",2025-04-21T18:27:47.877042,https://cctv.trafficwatchni.com/781.jpg?cache=1745260060000
195,"Dromore Road at Asda, Omagh",2025-04-21T18:27:48.183562,https://cctv.trafficwatchni.com/782.jpg?cache=1745260060000
196,"Great Northern Road , Tamlaght Road (Homebase), Omagh",2025-04-21T18:27:48.483642,https://cctv.trafficwatchni.com/783.jpg?cache=1745260060000
197,"Gortmerron Link Road, Dungannon",2025-04-21T18:27:48.783649,https://cctv.trafficwatchni.com/784.jpg?cache=1745260060000
198,"Market Square, Dungannon",2025-04-21T18:27:49.096900,https://cctv.trafficwatchni.com/785.jpg?cache=1745260060000
199,"Orritor Street/William Street, Cookstown",2025-04-21T18:27:49.406810,https://cctv.trafficwatchni.com/786.jpg?cache=1745260060000
200,"Gaol Square, Enniskillen",2025-04-21T18:27:49.712725,https://cctv.trafficwatchni.com/787.jpg?cache=1745260060000
201,Durham St - College Sq Nth,2025-04-21T18:27:50.018988,https://cctv.trafficwatchni.com/10_1.jpg?cache=1745260070000
202,Sandy Row - Hope Street,2025-04-21T18:27:50.323493,https://cctv.trafficwatchni.com/11.jpg?cache=1745260070000
203,N&#39;ards RD - Albertbridge RD,2025-04-21T18:27:50.627535,https://cctv.trafficwatchni.com/24.jpg?cache=1745260070000
204,Ormeau AV - Linehall ST,2025-04-21T18:27:50.939819,https://cctv.trafficwatchni.com/30.jpg?cache=1745260070000
205,M1 - Finaghy Road,2025-04-21T18:27:51.492386,https://cctv.trafficwatchni.com/108.jpg?cache=1745260070000
206,M1 - Moira East Bound JCT9,2025-04-21T18:27:51.832441,https://cctv.trafficwatchni.com/128.jpg?cache=1745260070000
207,M2 - Duncrue St North (0B14),2025-04-21T18:27:52.142308,https://cctv.trafficwatchni.com/202.jpg?cache=1745260070000
208,M2 - Fortwilliam North (1B16),2025-04-21T18:27:52.453724,https://cctv.trafficwatchni.com/207.jpg?cache=1745260070000
209,M2 - Antrim Hospital,2025-04-21T18:27:52.757142,https://cctv.trafficwatchni.com/225.jpg?cache=1745260070000
210,M22 - Dunsilly Roundabout,2025-04-21T18:27:53.056821,https://cctv.trafficwatchni.com/226.jpg?cache=1745260070000
211,Upp K&#39;Breda - Milltown Rd,2025-04-21T18:27:53.390401,https://cctv.trafficwatchni.com/407.jpg?cache=1745260070000
212,Milltown - Hospital Rd,2025-04-21T18:27:53.697511,https://cctv.trafficwatchni.com/408.jpg?cache=1745260070000
213,Westlink - Divis,2025-04-21T18:27:54.000816,https://cctv.trafficwatchni.com/505.jpg?cache=1745260070000
214,Westlink - Hospital,2025-04-21T18:27:54.317094,https://cctv.trafficwatchni.com/590.jpg?cache=1745260070000
1,Chichester Street,2025-04-25T16:49:06.841868,https://cctv.trafficwatchni.com/5.jpg?cache=1745599740000
